# 100-row sample of the SYNTHETIC CV-QKD trace (spec §S0).
step,skr_kbps,qber
0,0.098201,0.020629
1,0.094192,0.023202
2,0.100175,0.017322
3,0.091188,0.026520
4,0.099475,0.016481
5,0.099558,0.016884
6,0.099122,0.008375
7,0.097688,0.013770
8,0.097108,0.017279
9,0.095819,0.022058
10,0.101957,0.019357
11,0.102626,0.016674
12,0.095117,0.024517
13,0.100814,0.016283
14,0.101232,0.017711
15,0.100775,0.014952
16,0.101845,0.019204
17,0.100695,0.021073
18,0.102197,0.016731
19,0.098439,0.023920
20,0.108353,0.013705
21,0.097783,0.026729
22,0.106576,0.021322
23,0.099657,0.027290
24,0.098888,0.029008
25,0.109387,0.021787
26,0.113933,0.019978
27,0.114526,0.013558
28,0.111682,0.022149
29,0.113936,0.014079
30,0.111000,0.017818
31,0.094160,0.028697
32,0.105916,0.021645
33,0.097202,0.027917
34,0.100970,0.023167
35,0.107395,0.020260
36,0.097592,0.025020
37,0.088152,0.029110
38,0.105326,0.016692
39,0.109058,0.020245
40,0.106229,0.020943
41,0.105419,0.018112
42,0.106634,0.013612
43,0.104030,0.022906
44,0.112822,0.016227
45,0.116139,0.018563
46,0.114090,0.017836
47,0.113740,0.021249
48,0.112911,0.020805
49,0.110969,0.013294
50,0.108242,0.022513
51,0.110260,0.019179
52,0.099544,0.024365
53,0.108429,0.016435
54,0.109083,0.008749
55,0.109121,0.017092
56,0.109360,0.019621
57,0.101352,0.023471
58,0.096276,0.027105
59,0.103549,0.024219
60,0.105593,0.023938
61,0.108779,0.020378
62,0.107591,0.019325
63,0.107979,0.012886
64,0.105605,0.017157
65,0.106047,0.014785
66,0.105517,0.021793
67,0.110843,0.019930
68,0.100214,0.027011
69,0.115695,0.008173
70,0.113052,0.021698
71,0.113261,0.021856
72,0.112584,0.021597
73,0.115051,0.010492
74,0.117222,0.015981
75,0.117034,0.018556
76,0.115469,0.015752
77,0.111756,0.019942
78,0.108484,0.021503
79,0.105813,0.014071
80,0.100597,0.022565
81,0.104448,0.017350
82,0.088868,0.029082
83,0.100365,0.020433
84,0.089131,0.028237
85,0.093944,0.025335
86,0.095841,0.024583
87,0.098026,0.023066
88,0.105326,0.012631
89,0.104703,0.010325
90,0.102437,0.018977
91,0.096803,0.023066
92,0.102983,0.017816
93,0.105812,0.017617
94,0.101633,0.021757
95,0.101878,0.010279
96,0.092654,0.025434
97,0.105079,0.018584
98,0.103742,0.013587
99,0.104878,0.017637
